Date,Open,High,Low,Close,Adj Close,Volume
2021-03-18,118.000000,118.330002,114.099998,114.500000,114.500000,10283800
2021-03-19,114.379997,114.889999,113.209999,113.629997,113.629997,11536000
2021-03-22,114.790001,118.330002,114.790001,117.180000,117.180000,9376400
2021-03-23,116.099998,116.750000,114.620003,114.889999,114.889999,8977400
2021-03-24,112.470001,114.690002,108.849998,108.959999,108.959999,24196100
2021-03-25,108.000000,112.750000,107.889999,110.449997,110.449997,16772400
2021-03-26,112.000000,116.699997,111.199997,116.559998,116.559998,12910900
2021-03-29,116.550003,116.760002,112.389999,114.389999,114.389999,10863600
2021-03-30,115.279999,116.089996,114.290001,115.070000,115.070000,8206200
2021-03-31,115.790001,118.360001,115.559998,118.279999,118.279999,9806500
2021-04-01,122.809998,124.879997,121.639999,124.800003,124.800003,17904000
2021-04-05,127.070000,127.400002,122.680000,124.500000,124.500000,14113900
2021-04-06,124.000000,124.010002,121.540001,122.440002,122.440002,13042300
2021-04-07,122.440002,122.610001,119.839996,119.889999,119.889999,11193200
2021-04-08,121.379997,123.820000,121.379997,123.430000,123.430000,10226700
2021-04-09,122.750000,123.440002,121.699997,122.800003,122.800003,8315200
2021-04-12,122.209999,122.459999,119.239998,120.900002,120.900002,9868400
2021-04-13,122.400002,122.900002,120.349998,121.269997,121.269997,8384800
2021-04-14,121.989998,122.430000,120.500000,120.839996,120.839996,9521900
2021-04-15,121.699997,122.000000,116.559998,118.349998,118.349998,18709100
2021-04-16,119.190002,120.599998,117.849998,118.839996,118.839996,9512100
2021-04-19,118.000000,118.879997,115.199997,115.400002,115.400002,12630300
2021-04-20,116.050003,116.779999,114.550003,114.949997,114.949997,9299200
2021-04-21,114.500000,117.489998,113.769997,117.400002,117.400002,8472200
2021-04-22,117.500000,117.500000,114.410004,115.320000,115.320000,7411800
2021-04-23,116.580002,118.720001,115.930000,118.639999,118.639999,8380300
2021-04-26,120.000000,121.540001,119.400002,121.519997,121.519997,8444000
2021-04-27,121.500000,121.650002,119.889999,121.269997,121.269997,5491800
2021-04-28,120.000000,120.419998,118.730003,119.660004,119.660004,6476500
2021-04-29,120.720001,120.830002,117.610001,119.099998,119.099998,8831800
2021-04-30,118.010002,118.180000,116.650002,116.739998,116.739998,7944400
2021-05-03,117.470001,117.550003,115.730003,115.940002,115.940002,10229500
2021-05-04,115.000000,115.820000,113.739998,115.360001,115.360001,9638300
2021-05-05,116.000000,116.489998,115.300003,115.379997,115.379997,4174100
2021-05-06,115.300003,117.639999,114.459999,117.000000,117.000000,8581700
2021-05-07,118.400002,119.419998,116.050003,116.830002,116.830002,9606900
2021-05-10,114.980003,115.379997,112.230003,112.309998,112.309998,12281200
2021-05-11,109.730003,112.989998,109.129997,112.849998,112.849998,10007700
2021-05-12,109.349998,110.089996,108.059998,108.209999,108.209999,15058900
2021-05-13,109.360001,111.430000,107.900002,108.750000,108.750000,10552000
2021-05-14,110.610001,112.830002,110.239998,112.459999,112.459999,8414200
2021-05-17,109.070000,110.029999,107.870003,109.800003,109.800003,10688600
2021-05-18,113.000000,113.480003,110.739998,110.839996,110.839996,7476600
2021-05-19,108.500000,112.489998,108.000000,112.400002,112.400002,7280500
2021-05-20,112.389999,113.720001,112.099998,113.279999,113.279999,6434500
